OA: 0.9946  MP: 0.9166  MR: 0.9507  MIoU: 0.8811  FWIoU: 0.9900  MDice: 0.9333  ID: Sc_205
OA: 0.9887  MP: 0.8252  MR: 0.9695  MIoU: 0.8091  FWIoU: 0.9811  MDice: 0.8916  ID: Sc_208
OA: 0.9849  MP: 0.7725  MR: 0.9842  MIoU: 0.7624  FWIoU: 0.9766  MDice: 0.8656  ID: Sc_219
OA: 0.9792  MP: 0.9061  MR: 0.9131  MIoU: 0.8439  FWIoU: 0.9618  MDice: 0.9096  ID: Sc_220
OA: 0.9665  MP: 0.8795  MR: 0.8817  MIoU: 0.8014  FWIoU: 0.9396  MDice: 0.8806  ID: Sc_230
OA: 0.9599  MP: 0.9202  MR: 0.8144  MIoU: 0.7709  FWIoU: 0.9245  MDice: 0.8641  ID: Sc_231
OA: 0.9609  MP: 0.8567  MR: 0.8248  MIoU: 0.7491  FWIoU: 0.9303  MDice: 0.8405  ID: Sc_238
OA: 0.9705  MP: 0.8911  MR: 0.8925  MIoU: 0.8173  FWIoU: 0.9463  MDice: 0.8918  ID: Sc_241
OA: 0.9865  MP: 0.8358  MR: 0.8862  MIoU: 0.7776  FWIoU: 0.9767  MDice: 0.8603  ID: Sc_242
OA: 0.9942  MP: 0.9465  MR: 0.9133  MIoU: 0.8753  FWIoU: 0.9889  MDice: 0.9296  ID: Sc_245
OA: 0.9917  MP: 0.9702  MR: 0.9864  MIoU: 0.9577  FWIoU: 0.9838  MDice: 0.9782  ID: Sc_259
OA: 0.9815  MP: 0.9542  MR: 0.9549  MIoU: 0.9152  FWIoU: 0.9645  MDice: 0.9545  ID: Sc_262
OA: 0.9844  MP: 0.8470  MR: 0.8843  MIoU: 0.7840  FWIoU: 0.9728  MDice: 0.8652  ID: Sc_267
OA: 0.9801  MP: 0.8706  MR: 0.9410  MIoU: 0.8336  FWIoU: 0.9650  MDice: 0.9045  ID: Sc_270
OA: 0.9754  MP: 0.9006  MR: 0.9347  MIoU: 0.8540  FWIoU: 0.9553  MDice: 0.9173  ID: Sc_271
OA: 0.9924  MP: 0.9022  MR: 0.9330  MIoU: 0.8566  FWIoU: 0.9861  MDice: 0.9173  ID: Sc_293
OA: 0.9925  MP: 0.9810  MR: 0.8806  MIoU: 0.8681  FWIoU: 0.9851  MDice: 0.9281  ID: Sc_31
OA: 0.9794  MP: 0.7527  MR: 0.7820  MIoU: 0.6762  FWIoU: 0.9663  MDice: 0.7671  ID: Sc_32
OA: 0.9894  MP: 0.9876  MR: 0.9394  MIoU: 0.9287  FWIoU: 0.9790  MDice: 0.9629  ID: Sc_34
OA: 0.9925  MP: 0.9603  MR: 0.9881  MIoU: 0.9497  FWIoU: 0.9855  MDice: 0.9740  ID: Sc_37
OA: 0.9798  MP: 0.9850  MR: 0.9057  MIoU: 0.8922  FWIoU: 0.9603  MDice: 0.9437  ID: Sc_53
OA: 0.9813  MP: 0.9231  MR: 0.9202  MIoU: 0.8621  FWIoU: 0.9651  MDice: 0.9216  ID: Sc_6
OA: 0.9316  MP: 0.8647  MR: 0.7621  MIoU: 0.7000  FWIoU: 0.8758  MDice: 0.8102  ID: Sc_68
OA: 0.9839  MP: 0.8059  MR: 0.7584  MIoU: 0.6904  FWIoU: 0.9718  MDice: 0.7815  ID: Sc_73
